epoch,accuracy,loss,val_accuracy,val_loss
0,0.8741418719291687,0.5143726468086243,0.8571428656578064,0.7067731618881226
1,0.9016018509864807,0.4326705038547516,0.841269850730896,0.7044870257377625
2,0.9107551574707031,0.3242010772228241,0.8650793433189392,0.5458050966262817
3,0.9016018509864807,0.3672889769077301,0.8571428656578064,0.5777186155319214
4,0.942791759967804,0.20359015464782715,0.8571428656578064,0.5897501111030579
5,0.9405034184455872,0.17465145885944366,0.8333333134651184,0.5203626155853271
6,0.95652174949646,0.16539527475833893,0.8571428656578064,0.5128387212753296
7,0.9633867144584656,0.10680370032787323,0.8730158805847168,0.5093609094619751
8,0.95652174949646,0.14326336979866028,0.8730158805847168,0.5033522248268127
9,0.972540020942688,0.09044977277517319,0.8730158805847168,0.5068215131759644
10,0.970251739025116,0.06987467408180237,0.8730158805847168,0.501680314540863
11,0.9542334079742432,0.1005885973572731,0.8809523582458496,0.5005121827125549
12,0.9588100910186768,0.11826103925704956,0.8809523582458496,0.5063039660453796
13,0.9633867144584656,0.10918024927377701,0.8809523582458496,0.5086195468902588
14,0.9748283624649048,0.08277587592601776,0.8809523582458496,0.510202169418335
15,0.9656750559806824,0.09603887051343918,0.8809523582458496,0.5100252032279968
16,0.9679633975028992,0.0902656763792038,0.8809523582458496,0.5100765824317932
17,0.970251739025116,0.10133529454469681,0.8809523582458496,0.5099705457687378
18,0.9748283624649048,0.08073364198207855,0.8809523582458496,0.5101724863052368
19,0.9656750559806824,0.08835247904062271,0.8809523582458496,0.5096732378005981
20,0.9633867144584656,0.13041049242019653,0.8809523582458496,0.509861171245575
21,0.9656750559806824,0.1204211488366127,0.8809523582458496,0.5093921422958374
22,0.9656750559806824,0.14987485110759735,0.8809523582458496,0.508914589881897
23,0.970251739025116,0.09103517234325409,0.8809523582458496,0.5089947581291199
24,0.9656750559806824,0.08690263330936432,0.8809523582458496,0.5090917944908142
