epoch,accuracy,loss,val_accuracy,val_loss
0,0.260869562625885,69.12535858154297,0.3888888955116272,5.573176383972168
1,0.44164758920669556,14.92071533203125,0.7142857313156128,1.1609443426132202
2,0.6064073443412781,5.55259895324707,0.6746031641960144,1.1888939142227173
3,0.6796338558197021,4.174140930175781,0.7698412537574768,0.9428112506866455
4,0.752860426902771,2.0259170532226562,0.8015872836112976,0.7378553152084351
5,0.7597253918647766,1.9626821279525757,0.8253968358039856,0.727039098739624
6,0.8215103149414062,1.360681414604187,0.841269850730896,0.6860025525093079
7,0.8329519629478455,1.1778968572616577,0.8333333134651184,0.7555692791938782
8,0.8352402448654175,0.9867781400680542,0.8492063283920288,0.7029663324356079
9,0.8695651888847351,0.7985594272613525,0.8650793433189392,0.6894217133522034
10,0.8535469174385071,0.7617056965827942,0.841269850730896,0.7665792107582092
11,0.8558352589607239,0.6887702345848083,0.7857142686843872,0.8254203200340271
12,0.8878718614578247,0.44739261269569397,0.841269850730896,0.6831563115119934
13,0.9107551574707031,0.4222491979598999,0.8492063283920288,0.6858334541320801
14,0.8947368264198303,0.5471479892730713,0.8492063283920288,0.7261207103729248
15,0.8970251679420471,0.3749590814113617,0.8333333134651184,0.735293984413147
16,0.8924484848976135,0.4817466735839844,0.841269850730896,0.7299479246139526
17,0.8832951784133911,0.46468013525009155,0.841269850730896,0.7193427681922913
18,0.9153317809104919,0.37446457147598267,0.8492063283920288,0.7154854536056519
19,0.9199084639549255,0.22374677658081055,0.8492063283920288,0.7151175737380981
20,0.9084668159484863,0.3150935769081116,0.8492063283920288,0.7151342630386353
21,0.9176201224327087,0.3789289891719818,0.8492063283920288,0.7121819257736206
22,0.9221968054771423,0.3272104561328888,0.8492063283920288,0.7116779088973999
23,0.942791759967804,0.2610786259174347,0.8492063283920288,0.7116683125495911
24,0.8970251679420471,0.38132184743881226,0.8492063283920288,0.7114415168762207
